title,price,image_url,details_url,fuel,year,horsepower,mileage,date,city
HYUNDAI Accent,122.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/12/656db6c0b551c.jpg,https://www.wandaloo.com/occasion/hyundai-accent-diesel-occasion-casablanca-maroc/38785.html,Diesel,2016,6 cv,142.000 km,4 décembre 2023,Casablanca
LAND ROVER Range Rover Evoque,380.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/05/656db1aba8462.jpg,https://www.wandaloo.com/occasion/land-rover-range-rover-evoque-diesel-occasion-casablanca-maroc/37916.html,Diesel,2020,8 cv,100.000 km,4 décembre 2023,Casablanca
AUDI A3 Sportback,630.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/09/64f9dbbb5b374.jpg,https://www.wandaloo.com/occasion/audi-a3-sportback-diesel-occasion-casablanca-maroc/38394.html,Diesel,2023,8 cv,5.000 km,4 décembre 2023,Casablanca
RENAULT Mégane,105.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/09/6548d944ce710.jpg,https://www.wandaloo.com/occasion/renault-megane-diesel-occasion-casablanca-maroc/38491.html,Diesel,2013,6 cv,111.000 km,4 décembre 2023,Casablanca
BMW Série 4 Gran Coupé,860.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/03/652e9b5e5b4a5.jpg,https://www.wandaloo.com/occasion/bmw-serie-4-gran-coupe-diesel-occasion-casablanca-maroc/37625.html,Diesel,2023,8 cv,10.000 km,4 décembre 2023,Casablanca
AUDI Q3 Sportback,840.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/10/652ea121c51b1.jpg,https://www.wandaloo.com/occasion/audi-q3-sportback-essence-occasion-casablanca-maroc/38575.html,Essence,2022,14 cv,14.000 km,4 décembre 2023,Casablanca
DS DS3,85.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/6548dcee727d7.jpg,https://www.wandaloo.com/occasion/ds-ds3-essence-occasion-casablanca-maroc/38644.html,Essence,2012,8 cv,82.000 km,4 décembre 2023,Casablanca
MERCEDES Classe E,340.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/02/6458cc05cfa58.jpg,https://www.wandaloo.com/occasion/mercedes-classe-e-diesel-occasion-casablanca-maroc/37547.html,Diesel,2018,cv,51.000 km,4 décembre 2023,Casablanca
DACIA Dokker,118.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/6557292b1fdbe.jpg,https://www.wandaloo.com/occasion/dacia-dokker-diesel-occasion-casablanca-maroc/38694.html,Diesel,2019,6 cv,60.000 km,4 décembre 2023,Casablanca
LAND ROVER Range Rover Sport,850.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/03/641998bc3b820.jpg,https://www.wandaloo.com/occasion/land-rover-range-rover-sport-diesel-occasion-casablanca-maroc/37684.html,Diesel,2019,12 cv,74.000 km,4 décembre 2023,Casablanca
MERCEDES CLA Coupé,490.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/65577cf7b9d65.jpg,https://www.wandaloo.com/occasion/mercedes-cla-coupe-diesel-occasion-casablanca-maroc/38696.html,Diesel,2022,cv,20.000 km,4 décembre 2023,Casablanca
LAND ROVER Range Rover Evoque,540.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/05/656857db1ec9e.jpg,https://www.wandaloo.com/occasion/land-rover-range-rover-evoque-diesel-occasion-casablanca-maroc/37951.html,Diesel,2021,9 cv,50.000 km,4 décembre 2023,Casablanca
